stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
9463,9463,Melody & Stuart (EB),This stop (#9463) is eastbound on the 4199 block of Melody Ln nearside Stuart Ct,43.130548,-89.31265,MMT,CMAD,0,,3,90,0,Melody,4199,Stuart
9472,9472,American & Eastpark (SB),This stop (#9472) is southbound on the 4598 block of American Pkwy farside Eastpark Blvd,43.147351,-89.290045,MMT,CMAD,0,,1,180,1,American,4598,Eastpark
9475,9475,E Washington & E Springs (EB),This stop (#9475) is eastbound on the 4801 block of E Washington Ave farside East Springs Dr,43.131703,-89.302517,MMT,CMAD,0,,1,90,1,E Washington,4801,E Springs
9479,9479,Commercial & Nakoosa (NB),This stop (#9479) is northbound on the 4098 block of Commercial Ave farside Nakoosa Trl,43.108739,-89.314673,MMT,CMAD,0,,1,0,1,Commercial,4098,Nakoosa
9480,9480,Forest Run & Forest Ridge (SB),This stop (#9480) is southbound on the 4700 block of Forest Run Rd nearside Forest Ridge Way,43.13687,-89.303521,MMT,CMAD,0,,3,180,1,Forest Run,4700,Forest Ridge
9486,9486,Eastpark & Biltmore (SB),This stop (#9486) is southbound on the 4701 block of Eastpark Blvd farside Biltmore Ln,43.151801,-89.299058,MMT,CMAD,0,,1,180,1,Eastpark,4701,Biltmore
9488,9488,International & Elder Care (SB),This stop (#9488) is southbound on the 2800 block of International Ln adjacent Elder Care Driveway,43.127494,-89.349323,MMT,CMAD,0,,2,180,1,International,2800,Elder Care
9490,9490,O'Keeffe & New Town (WB),This stop (#9490) is westbound on the 1398 block of O'Keeffe Ave nearside New Town Dr,43.163525,-89.261052,MMT,CSUN,0,,3,270,0,O'Keeffe,1398,New Town
9491,9491,E Washington & Lien (EB),This stop (#9491) is eastbound on the 3901 block of E Washington Ave farside Lien Rd,43.121383,-89.317433,MMT,CMAD,0,,1,90,1,E Washington,3901,Lien
9493,9493,International & American (NB),This stop (#9493) is northbound on the 2701 block of International Ln farside American Ln,43.12573,-89.349732,MMT,CMAD,0,,1,0,1,International,2701,American
9494,9494,Portage & Rieder (SB),This stop (#9494) is southbound on the 3000 block of Portage Rd nearside Rieder Rd,43.135627,-89.315817,MMT,CMAD,0,,3,180,1,Portage,3000,Rieder
9497,9497,Main & Grand (EB),This stop (#9497) is eastbound on the 2599 block of Main St farside Grand Ave,43.175894,-89.263965,MMT,CSUN,0,,1,90,0,Main,2599,Grand
9498,9498,City View & Wall (SB),This stop (#9498) is southbound on the 2800 block of City View Dr nearside Wall St,43.132754,-89.287898,MMT,CMAD,0,,3,180,1,City View,2800,Wall
9503,9503,International & Air Freight (NB),This stop (#9503) is northbound on the 3501 block of International Ln adjacent Air Freight Driveway,43.131871,-89.347168,MMT,PRIV,0,,2,0,0,International,3501,Air Freight
9504,9504,Main & Thompson (WB),This stop (#9504) is westbound on the 2300 block of Main St farside Thompson Rd,43.176537,-89.255186,MMT,CSUN,0,,1,270,0,Main,2300,Thompson
9509,9509,High Crossing & Cross Hill (EB),This stop (#9509) is eastbound on the 5501 block of High Crossing Blvd farside Cross Hill Dr,43.142868,-89.28385,MMT,CMAD,0,,1,90,1,High Crossing,5501,Cross Hill
9520,9520,E Washington & E Springs (WB),This stop (#9520) is westbound on the 4798 block of E Washington Ave farside East Springs Dr,43.131605,-89.303456,MMT,CMAD,0,,1,270,1,E Washington,4798,E Springs
9524,9524,Lien & Parkside (WB),This stop (#9524) is westbound on the 3998 block of Lien Rd farside Parkside Dr,43.121095,-89.31558,MMT,CMAD,0,,1,270,0,Lien,3998,Parkside
9527,9527,W Terrace & Eastpark (EB),This stop (#9527) is eastbound on the 5101 block of Terrace Dr (W) farside Eastpark Blvd,43.144008,-89.295464,MMT,CMAD,0,,1,90,1,W Terrace,5101,Eastpark
9528,9528,O'Keeffe & Prairie (WB),This stop (#9528) is westbound on the 850 block of O'Keeffe Ave nearside Prairie Run,43.171594,-89.248151,MMT,CSUN,0,,3,270,0,O'Keeffe,850,Prairie
9531,9531,Lien & Eagan (EB),This stop (#9531) is eastbound on the 4301 block of Lien Rd farside Eagan Rd,43.120882,-89.306933,MMT,CMAD,0,,1,90,1,Lien,4301,Eagan
9532,9532,Anderson & Pearson (WB),This stop (#9532) is westbound on the 3100 block of Anderson St nearside Pearson St,43.120655,-89.337039,MMT,CMAD,0,,3,270,0,Anderson,3100,Pearson
9535,9535,Grand & Blue Aster (NB),This stop (#9535) is northbound on the 399 block of Grand Ave farside Blue Aster Blvd,43.171947,-89.264765,MMT,CSUN,0,,1,0,1,Grand,399,Blue Aster
9539,9539,Crossroads & City View (NB),This stop (#9539) is northbound on the 2201 block of Crossroads Dr farside City View Dr,43.12929,-89.288943,MMT,CMAD,0,,1,0,1,Crossroads,2201,City View
9543,9543,O'Keeffe & Wild Iris (NB),This stop (#9543) is northbound on the 1601 block of O'Keeffe Ave nearside Wild Iris St,43.15949,-89.263496,MMT,CSUN,0,,3,0,0,O'Keeffe,1601,Wild Iris
9545,9545,Melody & Independence (EB),This stop (#9545) is eastbound on the 4399 block of Melody Ln nearside Independence Ln,43.130465,-89.310228,MMT,CMAD,0,,3,90,1,Melody,4399,Independence
9549,9549,Hayes & Morningside (EB),This stop (#9549) is eastbound on the 4665 block of Hayes Rd adjacent Morningside/green,43.142305,-89.303289,MMT,CMAD,0,,2,90,1,Hayes,4665,Morningside
9551,9551,E Washington & Macarthur (EB),This stop (#9551) is eastbound on the 3701 block of E Washington Ave farside Macarthur Rd,43.11743,-89.323306,MMT,CMAD,0,,1,90,1,E Washington,3701,Macarthur
9552,9552,E Washington & Melvin (WB),This stop (#9552) is westbound on the 3200 block of E Washington Ave nearside Melvin Ct,43.109372,-89.335929,MMT,CMAD,0,,3,270,1,E Washington,3200,Melvin
9554,9554,E Washington & Mendota (WB),This stop (#9554) is westbound on the 3798 block of E Washington Ave farside Mendota St,43.118826,-89.321909,MMT,CMAD,0,,1,270,1,E Washington,3798,Mendota
9562,9562,International & Anderson (SB),This stop (#9562) is southbound on the 2398 block of International Ln farside Anderson St,43.123627,-89.351847,MMT,CMAD,0,,1,180,1,International,2398,Anderson
9564,9564,N Fair Oaks & E Washington (SB),This stop (#9564) is southbound on the 1098 block of Fair Oaks Ave (N) farside E Washington Ave,43.112332,-89.330638,MMT,CMAD,0,,1,180,0,N Fair Oaks,1098,E Washington
9566,9566,Independence & Dwight (SB),This stop (#9566) is southbound on the 2298 block of Independence Ln farside Dwight Dr,43.128772,-89.309428,MMT,CMAD,0,,1,180,1,Independence,2298,Dwight
9568,9568,N Thompson & Swanton (SB),This stop (#9568) is southbound on the 498 block of Thompson Dr (N) farside Swanton Rd,43.103793,-89.300429,MMT,CMAD,0,,1,180,1,N Thompson,498,Swanton
9573,9573,E Washington & Mendota (EB),This stop (#9573) is eastbound on the 3801 block of E Washington Ave farside Mendota St,43.118942,-89.321031,MMT,CMAD,0,,1,90,1,E Washington,3801,Mendota
9580,9580,Hoepker & Merchant (WB),This stop (#9580) is westbound on the 3000 block of Hoepker Rd farside Merchant Sq,43.165121,-89.278168,MMT,CSUN,0,,1,270,0,Hoepker,3000,Merchant
9581,9581,E Terrace & Herzing (EB),This stop (#9581) is eastbound on the 5217 block of Terrace Dr (E) opposite Herzing University,43.143923,-89.291065,MMT,CMAD,0,,4,90,1,E Terrace,5217,Herzing
9587,9587,E Washington & Portage (EB),This stop (#9587) is eastbound on the 4101 block of E Washington Ave farside Portage Rd,43.123735,-89.313995,MMT,CMAD,0,,1,90,1,E Washington,4101,Portage
9588,9588,E Washington & Independence (WB),This stop (#9588) is westbound on the 4498 block of E Washington Ave farside Independence Ln,43.127957,-89.308713,MMT,CMAD,0,,1,270,1,E Washington,4498,Independence
9591,9591,Commercial & Redland (EB),This stop (#9591) is eastbound on the 4399 block of Commercial Ave nearside Redland Dr,43.106564,-89.305043,MMT,CMAD,0,,3,90,1,Commercial,4399,Redland
9595,9595,American & American Family (NB),This stop (#9595) is northbound on the 5201 block of American Pkwy farside American Family Dr,43.152299,-89.286538,MMT,CMAD,0,,1,0,1,American,5201,American Family
9604,9604,N Thompson & Meadows (WB),This stop (#9604) is westbound on the 401 block of Thompson Dr (N) adjacent Meadows,43.102625,-89.296084,MMT,CMAD,0,,2,270,1,N Thompson,401,Meadows
9615,9615,Crossroads & Wall (NB),This stop (#9615) is northbound on the 2501 block of Crossroads Dr farside Wall St,43.132398,-89.290345,MMT,CMAD,0,,1,0,1,Crossroads,2501,Wall
9620,9620,E Springs & Plumbers 75 (WB),This stop (#9620) is westbound on the 2100 block of East Springs Dr adjacent Plumbers Local 75,43.126565,-89.294681,MMT,CMAD,0,,2,270,1,E Springs,2100,Plumbers 75
9621,9621,O'Keeffe & Brown Bear (EB),This stop (#9621) is eastbound on the 1301 block of O'Keeffe Ave farside Brown Bear Way,43.165738,-89.255113,MMT,CSUN,0,,1,90,1,O'Keeffe,1301,Brown Bear
9629,9629,Nakoosa & Commercial (EB),This stop (#9629) is eastbound on the 4101 block of Nakoosa Trl farside Commercial Ave,43.10838,-89.314377,MMT,CMAD,0,,1,90,1,Nakoosa,4101,Commercial
9630,9630,American & Buttonwood (SB),This stop (#9630) is southbound on the 4898 block of American Pkwy farside Buttonwood Dr,43.150261,-89.290014,MMT,CMAD,0,,1,180,1,American,4898,Buttonwood
9633,9633,Hayes & Portage (EB),This stop (#9633) is eastbound on the 4601 block of Hayes Rd farside Portage Rd,43.14254,-89.305995,MMT,CMAD,0,,1,90,1,Hayes,4601,Portage
9636,9636,N Thompson & Oak Valley (SB),This stop (#9636) is southbound on the 1200 block of Thompson Dr (N) nearside Oak Valley Dr,43.11593,-89.296467,MMT,CMAD,0,,3,180,1,N Thompson,1200,Oak Valley
9639,9639,Hoepker & Prairie Lakes (NB),This stop (#9639) is northbound on the 2899 block of Hoepker Rd farside Prairie Lakes Dr,43.166431,-89.27217,MMT,CSUN,0,,1,0,1,Hoepker,2899,Prairie Lakes
9642,9642,Wright & Straubel (SB),This stop (#9642) is southbound on the 1598 block of Wright St nearside Straubel St,43.117167,-89.330718,MMT,CMAD,0,,3,180,1,Wright,1598,Straubel
9645,9645,N Thompson & Oak Valley (NB),This stop (#9645) is northbound on the 1201 block of Thompson Dr (N) farside Oak Valley Dr,43.116154,-89.296343,MMT,CMAD,0,,1,0,1,N Thompson,1201,Oak Valley
9651,9651,Eastpark & U W Health (EB),This stop (#9651) is eastbound on the 4651 block of Eastpark Blvd opposite U W Health American Center,43.153513,-89.301094,MMT,CMAD,0,,4,90,1,Eastpark,4651,U W Health
9652,9652,Swanton & N Thompson (SB),This stop (#9652) is southbound on the 398 block of Swanton Rd farside Thompson Dr (N),43.104151,-89.300749,MMT,CMAD,0,,1,180,1,Swanton,398,N Thompson
9666,9666,Anderson & Pankratz (WB),This stop (#9666) is westbound on the 2298 block of Anderson St farside Pankratz St,43.122525,-89.349798,MMT,CMAD,0,,1,270,1,Anderson,2298,Pankratz
9670,9670,Melody & Stuart (WB),This stop (#9670) is westbound on the 4198 block of Melody Ln farside Stuart Ct,43.130763,-89.312835,MMT,CMAD,0,,1,270,1,Melody,4198,Stuart
9675,9675,Anderson & Wright (EB),This stop (#9675) is eastbound on the 3401 block of Anderson St farside Wright St,43.120032,-89.330072,MMT,CMAD,0,,1,90,1,Anderson,3401,Wright
9677,9677,East Towne & Eagan (EB),This stop (#9677) is eastbound on the 4301 block of East Towne Blvd farside Eagan Rd,43.12528,-89.308754,MMT,CMAD,0,,1,90,1,East Towne,4301,Eagan
9684,9684,American Family & American (WB),This stop (#9684) is westbound on the 6000 block of American Family Driveway farside American Pkwy,43.158163,-89.285747,MMT,PRIV,0,,1,270,1,American Family,6000,American
9685,9685,Lien & E Washington (EB),This stop (#9685) is eastbound on the 3901 block of Lien Rd farside E Washington Ave,43.120881,-89.31689,MMT,CMAD,0,,1,90,1,Lien,3901,E Washington
9693,9693,N Fair Oaks & Lexington (NB),This stop (#9693) is northbound on the 899 block of Fair Oaks Ave (N) nearside Lexington Ave,43.110389,-89.330394,MMT,CMAD,0,,3,0,0,N Fair Oaks,899,Lexington
9701,9701,High Crossing & E Springs (EB),This stop (#9701) is eastbound on the 4801 block of High Crossing Blvd farside East Springs Dr,43.131985,-89.297648,MMT,CMAD,0,,1,90,1,High Crossing,4801,E Springs
9715,9715,Portage & Village (NB),This stop (#9715) is northbound on the 3699 block of Portage Rd nearside Village Ln,43.140501,-89.309248,MMT,CMAD,0,,3,0,1,Portage,3699,Village
9717,9717,Eastpark & Biltmore (NB),This stop (#9717) is northbound on the 4698 block of Eastpark Blvd farside Biltmore Ln,43.152258,-89.298958,MMT,CMAD,0,,1,0,1,Eastpark,4698,Biltmore
9719,9719,Eagan & Lien (NB),This stop (#9719) is northbound on the 1701 block of Eagan Rd farside Lien Rd,43.121258,-89.307155,MMT,CMAD,0,,1,0,1,Eagan,1701,Lien
9720,9720,Crossroads & Wall (SB),This stop (#9720) is southbound on the 2500 block of Crossroads Dr nearside Wall St,43.13247,-89.290654,MMT,CMAD,0,,3,180,1,Crossroads,2500,Wall
9723,9723,Portage & Rieder (NB),This stop (#9723) is northbound on the 3001 block of Portage Rd farside Rieder Rd,43.135761,-89.31552,MMT,CMAD,0,,1,0,1,Portage,3001,Rieder
9724,9724,Anderson & Hoffman (WB),This stop (#9724) is westbound on the 3298 block of Anderson St farside Hoffman St,43.120357,-89.334334,MMT,CMAD,0,,1,270,1,Anderson,3298,Hoffman
9725,9725,Kinsman & Wright (EB),This stop (#9725) is eastbound on the 3501 block of Kinsman Blvd farside Wright St,43.125574,-89.329781,MMT,CMAD,0,,1,90,1,Kinsman,3501,Wright
