route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8494,87,MMT,38,,SHEBOYGN:PFLAUM,Serves Pflaum Road to/from UW Campus-Sheboygan Avenue. Operates regularly in Sheboygan Avenue direction from about 5 AM to 9 AM and in Pflaum Road direction from about 3 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,8D89B3,000000,1
8495,87,MMT,39,,WORLD DY:EAST TP,Serves East Transfer Point to/from World Dairy. Operates regularly from about 7 AM to 6 PM on weekday service days; limited trips via Dempsey at about 7 AM and 6 PM and from about 10 AM to 3 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-39,7493A8,000000,1
8496,87,MMT,40,,GRNDVIEW/TODD:STP,Serves South Transfer Point to/from Todd/Grandview. Operates regularly in Todd direction only from about 6 AM to 6 PM on weekday service days only; operates regularly in Grandview direction before 6 AM - from 9 AM to 4 PM and 6 PM to 11 PM on weekday serv,3,http://www.cityofmadison.com/metro/routes-schedules/route-40,64ACCD,000000,1
8497,87,MMT,44,,U CAMPUS:SOUTH TP,Serves South Transfer Point to/from UW Campus. Operates regularly in UW Campus direction from about 6 AM to 9 AM and in South Transfer Point direction from about 3 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-44,8F8A64,000000,1
8498,87,MMT,47,,ARBOR HL:CAP SQR,Serves Arbor Hills to/from Capitol Square. Operates regularly in both directions from about 6 AM to 9 AM and 3 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-47,885CA0,000000,1
8499,87,MMT,48,,U CAMPUS:SOUTH TP,Serves UW Campus to/from South Transfer Point. Operates regularly in South Transfer Point direction from about 6 AM to 8 AM and in UW Campus direction from about 4 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-48,D77AA9,000000,1
8500,87,MMT,49,,LACY-HATCHERY:SOUTH TP,Serves South Transfer Point to/from Lacy-Hatchery Hill. Operates regularly in Hatchery Hill direction from about 6 AM to 9 AM on weekday service days; operates regularly in Lacy direction from about 4 PM to 6 PM on weekday service days.,3,http://www.cityofmadison.com/metro/routes-schedules/route-49,7FC241,000000,1
8501,87,MMT,50,,RAYMOND:WEST TP,Serves West Transfer Point to/from Raymond. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/routes-schedules/route-50,D77734,000000,1
8502,87,MMT,51,,MUIR FLD:WEST TP,Serves West Transfer Point to/from Muir Field. Operates regularly from about 9 AM to 3 PM and 5 PM to 11 PM on weekday service days; operates regularly during entire day on weekend and holiday/modified service days.,3,http://www.cityofmadison.com/metro/routes-schedules/route-51,D05898,000000,1
8503,87,MMT,52,,ORCHARD PT:WEST TP,Serves West Transfer Point to/from Orchard Pointe. Operates regularly in both directions from about 6 AM to 10 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-52,6D2C50,FFFFFF,1
8504,87,MMT,55,,VERONA:WEST TP,Serves West Transfer Point to/from Mid Town-Epic Campus. Operates limited trips in both directions in the morning and afternoon on weekday and modified service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,D5BC5B,000000,1
8505,87,MMT,56,,MC KEE:NORTH TP/WTP,Serves McKee Road to/from West Transfer Point-North Transfer Point. Operates regularly in North Transfer Point direction from about 6 AM to 9 AM and in McKee Road direction from about 3 PM to 6 PM on weekday service days only; operates regularly in both,3,http://www.cityofmadison.com/metro/routes-schedules/route-56,937A6C,000000,1
8506,87,MMT,57,,MC KEE:NORTH TP/WTP,Serves McKee Road to/from West Transfer Point-North Transfer Point. Operates regularly in North Transfer Point direction from about 6 AM to 9 AM and in McKee Road direction from about 3 PM to 6 PM on weekday service days only; operates regularly in both,3,http://www.cityofmadison.com/metro/routes-schedules/route-57,84743E,000000,1
8507,87,MMT,58,,GRNTREE:CAP SQR,Serves Greentree to/from Capitol Square. Operates regularly in Capitol Square direction from about 6 AM to 9 AM and in Greentree direction from about 3 PM to 6 PM on weekday service days only; limited trips in opposite direction during morning and aftern,3,http://www.cityofmadison.com/metro/routes-schedules/route-58,A0A197,000000,1
8508,87,MMT,59,,FITCHBURG:WEST TP,Serves West Transfer Point to/from Orchard Pointe-Fitchburg. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,E09FC0,000000,1
8509,87,MMT,63,,PR TOWN:WEST TP,Serves West Transfer Point to/from Prairie Towne Center. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-63,D7A23A,000000,1
8510,87,MMT,67,,W TOWNE:WEST TP,Serves West Transfer Point to/from West Towne Mall. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/routes-schedules/route-67,6584A4,000000,1
8511,87,MMT,68,,PR TOWN:WEST TP,Serves West Transfer Point to/from Prairie Towne Center. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-68,5EA95A,000000,1
8512,87,MMT,70,,MIDDLTON:CAP SQR,Serves Middleton to/from Capitol Square. Operates regularly from about 9 AM to 3 PM and 6 PM to 11 PM on weekday service days; limited trips in Capitol Square direction from about 5 AM to 6 AM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A8B1DA,000000,1
8513,87,MMT,71,,MIDDLTON:CAP SQR,Serves Middleton to/from Capitol Square. Operates regularly in Capitol Square direction from about 6 AM to 9 AM and in Middleton direction from about 3 PM to 6 PM on weekday service days only; limited trips in opposite direction during morning and aftern,3,http://www.cityofmadison.com/metro/routes-schedules/route-71,B67F72,000000,1
